pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
1398	埼玉県さいたま市緑区美園	453.25	453.25	準住居地域		60		200		公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	西	公道	6.0	18.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.6	（無）	（不要）	2200	2100	実測	更地	市街化区域		その他	（有）	（無）	（不要）	（不要）	（不要）	準防火地域	100.0					（無）	125000	176000	146000	453.25	0.0	0.0	125.35	150.68	105.16	108.47	151.08	107.09	（不要）	（不要）	0.0	0.0	（不要）						○															34.0	28	27																								○					埼玉高速鉄道線	浦和美園	徒歩	21								
1399	埼玉県さいたま市北区盆栽町	139.55	139.55	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北東	公道	5.6	9.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.7	（有）	（不要）	800	960	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域					風致地区	（無）	155000	300000	314000	139.55	0.0	0.0	139.55	139.55	110.13	110.13	139.55	110.13	（不要）	（不要）	0.0	0.0	（不要）		○	○	○		○															7.0	10	12	○							○															○						JR東北本線【宇都宮線】	土呂	徒歩	4								
1400	埼玉県草加市瀬崎町	91.81	91.81	準工業地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	4.0	8.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	74.52	0.4	（無）	（不要）	900	400	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	無指定	100.0					（無）	84000	119000	134000	91.81	0.0	0.0	92.33	92.33	100.6	100.6	91.81	100.6	（不要）	（不要）	0.0	0.0	（不要）						○															18.0	12	5	○							○							○							○							東武伊勢崎線	谷塚	徒歩	16								
1401	埼玉県草加市両新田西町	68.32	68.32	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	側溝	1.0	0.0	0.0	0.0	0.0	1.0	北	公道	4.0	6.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	823	400	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	120.0	景観法				（無）	81000	106000	140000	68.32	0.0	0.0	68.32	68.32	104.88	104.88	68.32	104.88	（不要）	（不要）	0.0	0.0	（要）	72.0	○				○															17.0	11	5		○							○												○		○						東武伊勢崎線	竹ノ塚	バス	20	両新田	5.0			バス			
1402	埼玉県北葛飾郡杉戸町杉戸	550.23	511.57	近隣商業地域		80	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	北	公道	4.8	12.1			0.0	0.0			0.0	0.0			0.0	0.0	（有）	100.31	0.3	（無）	（不要）	800	700	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	22条区域	120.0					（無）	55000	60800	64400	550.23	0.0	0.0	148.08	190.97	102.5	102.5	183.41	102.5	（不要）	（不要）	0.0	0.0	（不要）		○	○	○		○															17.0	10	9	○							○							○							○							東武伊勢崎線	東武動物公園	徒歩	5								
1403	埼玉県北葛飾郡松伏町田中	128.88	128.88	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北東	公道	6.0	9.2			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	550	2100	実測	田・畑	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域		農地法				（無）	52000	65000	65000	128.88	0.0	0.0	128.88	128.88	93.0	93.0	128.88	93.0	（不要）	（不要）	0.0	0.0	（要）	101.0	○				○															8.0	7	27								○																					東武伊勢崎線	北越谷	バス	16		8.0						
1404	埼玉県幸手市東	2172.4	2172.4	第一種低層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	7.0	0.0	0.0	0.0	7.0	0.0	北東	公道	6.2	10.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	320	640	公簿	更地	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（不要）	22条区域						（無）	29000	72200	47200	2172.4	0.0	0.0	300.48	337.8	110.13	112.61	310.34	111.72	（不要）	（不要）	0.0	0.0	（不要）			○			○															9.0	4	8	○							○							○							○							東武日光線	幸手	徒歩	24								
1405	埼玉県新座市新堀	111.88	111.88	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	私道	4.0	9.9			0.0	0.0			0.0	0.0			0.0	0.0	（有）	65.2	0.2	（無）	（不要）	600	3050	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	160000	196000	199000	111.88	0.0	0.0	111.88	111.88	100.4	100.4	111.88	100.4	（不要）	（不要）	0.0	0.0	（不要）			○			○															15.0	8	39	○														○									○					西武池袋線	清瀬	徒歩	13								
1406	埼玉県さいたま市緑区美園	143.06	286.12	第一種中高層住居専用地域		60	0.0	150	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	12.0	9.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	1430	1700	公簿	更地	市街化区域		その他	（有）	（無）	（不要）	（不要）	（不要）	準防火地域	135.0					（無）	120000	124000	0	143.06	0.0	0.0	143.1	143.1	107.65	107.65	143.06	107.65	（不要）	（不要）	0.0	0.0	（要）	144.0				○	○															40.0	18	22								○																○					埼玉高速鉄道線	浦和美園	徒歩	28								
1407	埼玉県志木市柏町	114.63	113.77	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	3.9	7.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	880	640	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	110000	213000	280000	113.77	0.0	0.0	113.28	113.28	98.74	98.74	113.77	98.74	（不要）	（不要）	0.0	0.0	（不要）					○	○															16.0	11	8							○								○							○							東武東上線	柳瀬川	徒歩	19								
1408	埼玉県上尾市大字瓦葺字新堀付	90.16	90.16	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	5.0	5.7	南	公道	4.0	8.4			0.0	0.0			0.0	0.0	（有）	67.07	0.2	（無）	（不要）	800	2000	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0					（無）	89000	105000	0	90.16	0.0	0.0	90.16	90.16	72.0	72.0	90.16	72.0	（不要）	（不要）	0.0	0.0	（不要）			○			○															9.0	10	25	○																					○							JR東北本線【宇都宮線】	東大宮	徒歩	12								
1409	埼玉県八潮市大字鶴ケ曽根	338.39	438.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	6.0	13.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	1230	760	実測	更地	市街化区域	市街化区域	第2種	（有）	（無）	（要）	（不要）	（不要）	22条区域	100.0					（無）	86000	110000	0	338.39	0.0	0.0	165.3	173.09	96.0	96.0	169.19	96.0	（不要）	（不要）	0.0	0.0	（要）	20.0	○				○															11.0	16	10								○							○							○							首都圏新都市鉄道つくばエクスプレス	八潮	徒歩	32								
1410	埼玉県上尾市大字中新井	641.06	649.0	準工業地域		60	0.0	200	0.0	公営	個別浄化槽	都市ガス	宅内処理	4.0	0.0	1.0	0.0	5.0	0.0	西	公道	5.5	40.8	南	公道	4.0	9.8			0.0	0.0			0.0	0.0	（無）	0.0	0.8	（無）	（不要）	370	970	実測	更地	市街化区域		その他	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（有）	57000	57000	57000	639.06	0.0	2.0	111.7	150.1	92.57	92.57	127.81	92.57	（不要）	（不要）	0.0	0.0	（要）	25.0					○															12.0	5	13	○					○		○					○		○					○		○					○		JR高崎線	上尾	バス	9		2.0						
1411	埼玉県川口市安行出羽	396.31	396.0	第一種低層住居専用地域	第一種住居地域	50	60.0	100	200.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	北	公道	9.0	12.9	東	公道	6.0	4.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	400	320	公簿	更地	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（不要）	22条区域			農地法			（無）	105000	137000	110000	396.0	0.0	0.0	130.0	135.93	95.63	101.02	132.0	98.39	（不要）	（不要）	0.0	0.0	（不要）						○															29.0	5	4	○							○							○														埼玉高速鉄道線	戸塚安行	徒歩	16								
1412	埼玉県川越市霞ヶ関東	101.56	101.56	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.2	12.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	55.73	0.3	（無）	（不要）	720	720	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無		埋蔵文化財	農地法	風致地区	公拡法	（無）	120000	110000	110000	101.56	0.0	0.0	101.56	101.56	96.0	96.0	101.56	96.0	（不要）	（不要）	0.0	0.0	（不要）		○				○															2.0	9	9													○							○		○							東武東上線	霞ヶ関	徒歩	2								
1413	埼玉県三郷市戸ヶ崎	146.38	131.05	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南東	私道	4.0	4.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	400	550	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無		景観法				（無）	88000	109000	102000	131.05	15.33	0.0	131.05	131.05	105.9	105.9	131.05	105.9	（不要）	（不要）	0.0	0.0	（要）	15.0					○				○											12.0	5	7	○														○														首都圏新都市鉄道つくばエクスプレス	三郷中央	バス	10		1.0						
1414	埼玉県鴻巣市ひばり野	175.04	175.04	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南西	公道	6.0	11.2	北東	公道	9.0	15.1			0.0	0.0			0.0	0.0	（無）	0.0	0.6	（無）	（不要）	600	1400	公簿	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	60000	70800	80100	175.04	0.0	0.0	175.04	175.04	120.07	120.07	175.04	120.07	（不要）	（不要）	0.0	0.0	（不要）						○															7.0	8	18	○							○																					JR高崎線	鴻巣	バス	10		11.0						
1415	埼玉県越谷市赤山町	247.94	249.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	東	公道	4.0	16.1	北	公道	7.6	14.6			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（有）	（要）	860	1530	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0					（無）	120000	156000	141000	247.94	0.0	0.0	123.8	123.8	99.18	99.18	123.97	99.18	（不要）	（不要）	0.0	0.0	（不要）		○	○	○		○															6.0	11	20	○									○					○							○							東武伊勢崎線	越谷	徒歩	8								
1416	埼玉県さいたま市南区大字大谷口	192.23	192.23	第一種住居地域	第一種中高層住居専用地域	60	60.0	200	200.0	公営	公共下水	都市ガス	公共下水	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	6.0	10.1	西	公道	4.0	12.9			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	900	900	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	87900	196000	198000	192.23	0.0	0.0	93.63	98.6	95.58	108.94	96.11	102.26	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															5.0	12	12	○																					○							JR京浜東北線	南浦和	徒歩	18								
1417	埼玉県八潮市大字鶴ケ曽根	322.76	322.76	第一種住居地域		60		200		公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南西	公道	6.0	16.4			0.0	0.0			0.0	0.0			0.0	0.0	（有）	120.0	0.4	（無）	（不要）	1500	800	公簿	更地	市街化区域		第2種	（無）	（無）	（不要）	（不要）	（要）	防火指定無	100.0	景観法				（無）	87000	135000	113000	322.76	0.0	0.0	136.1	159.0	105.57	108.47	147.55	107.02	（不要）	（不要）	0.0	0.0	（不要）		○				○															15.0	19	10	○							○							○														首都圏新都市鉄道つくばエクスプレス	八潮	徒歩	31								
1418	埼玉県越谷市赤山町	331.61	329.71	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	南西	公道	8.2	19.3	北西	公道	7.1	16.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	880	1200	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	100.0					（無）	120000	198000	141000	329.71	0.0	0.0	105.04	121.52	98.53	103.09	109.9	100.32	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															9.0	11	15	○							○									○					○							東武伊勢崎線	越谷	徒歩	9								
1419	埼玉県鴻巣市広田	470.51	470.51	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	5.3	46.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	900	2800	公簿	更地	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	300.0					（無）	24100	13600	31000	470.51	0.0	0.0	470.51	470.51	109.0	109.0	470.51	109.0	（不要）	（不要）	0.0	0.0	（要）	20.0					○															38.0	12	35	○													○							○	○							JR高崎線	北鴻巣	バス	18		3.0						
1420	埼玉県春日部市豊町	133.26	133.26	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	8.0	9.4			0.0	0.0			0.0	0.0			0.0	0.0	（有）	62.1	0.3	（無）	（不要）	1000	1300	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0					（無）	95000	119000	109000	133.26	0.0	0.0	133.26	133.26	106.4	106.4	133.26	106.4	（不要）	（不要）	0.0	0.0	（不要）			○			○															12.0	13	17	○							○							○							○							東武伊勢崎線	春日部	徒歩	21								
1421	埼玉県入間市東町	405.6	360.04	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	北東	私道	4.0	23.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	650	1200	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	88000	118000	114000	364.28	41.32	0.0	120.23	122.68	105.16	105.58	121.42	105.3	（不要）	（不要）	0.0	0.0	（不要）		○				○															14.0	9	15	○							○							○							○							西武池袋線	武蔵藤沢	徒歩	15								
1422	埼玉県三郷市谷口	196.95	196.95	第一種低層住居専用地域		50	0.0	80	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	私道	4.0	10.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	1600	2000	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（要）	22条区域	120.0	景観法				（無）	0	144000	144000	153.4	43.55	0.0	153.4	153.4	93.0	93.0	153.4	93.0	（不要）	（不要）	0.0	0.0	（要）	55.0					○															10.0	20	25															○							○							首都圏新都市鉄道つくばエクスプレス	三郷中央	徒歩	22								
1423	埼玉県北本市本町	231.68	231.68	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	4.3	18.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	900	650	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	59900	101000	101000	231.68	0.0	0.0	106.0	125.68	84.24	98.82	115.84	91.53	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															7.0	12	9								○							○							○							JR高崎線	北本	徒歩	13								
1424	埼玉県鴻巣市宮前字原	499.99	1044.0	第一種中高層住居専用地域		60	0.0	150	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	東	公道	4.0	16.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	750	1400	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	51000	64600	64600	499.99	0.0	0.0	249.61	250.37	111.78	111.78	249.99	111.78	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															5.0	10	18															○														JR高崎線	鴻巣	徒歩	23								
1425	埼玉県坂戸市千代田	100.11	100.11	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	6.0	10.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.8	（無）	（不要）	1000	750	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	89000	105000	99500	100.11	0.0	0.0	100.11	100.11	100.2	100.2	100.11	100.2	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															10.0	13	10			○												○							○							東武東上線	若葉	徒歩	15								
1426	埼玉県川越市霞ヶ関北	148.15	148.15	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	6.0	9.4	南	公道	4.0	14.4			0.0	0.0			0.0	0.0	（有）	109.3	0.2	（無）	（不要）	715	1900	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	97000	127000	127000	148.15	0.0	0.0	148.15	148.15	102.0	102.0	148.15	102.0	（不要）	（不要）	0.0	0.0	（不要）						○															2.0	9	24								○														○							東武東上線	霞ヶ関	徒歩	15								
1427	埼玉県さいたま市見沼区大和田町	170.44	170.0	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	1.0	1.0	北西	公道	2.9	10.6	北東	公道	4.0	15.2			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	1900	470	実測	田・畑	市街化区域		その他	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0	農地法				（無）	91000	78300	78300	170.44	0.0	0.0	70.0	100.44	95.9	100.0	85.22	97.95	（要）	（不要）	45.0	0.0	（不要）						○															11.0	24	6	○													○	○													○	東武野田線	大和田	徒歩	13								
1428	埼玉県さいたま市緑区大字中尾	115.7	115.4	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.0	4.1	北	私道	4.0	14.3			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	960	900	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域		農地法				（無）	110000	154000	155000	115.7	0.0	0.0	115.7	115.7	95.88	95.88	115.7	95.88	（不要）	（不要）	0.0	0.0	（要）	50.0				○	○															5.0	12	12	○																○											○	JR京浜東北線	浦和	バス	10		2.0						
1429	埼玉県幸手市円藤内	610.51	610.51	指定のない区域		60	0.0	100	0.0	公営	個別浄化槽	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	東	公道	3.5	14.0	西	公道	4.5	14.1	北	公道	4.0	33.8			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	360	1170	実測	造成上り	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（要）	防火指定無	300.0	農地法	景観法			（無）	0	19700	58100	610.51	0.0	0.0	305.15	305.36	97.0	97.0	305.25	97.0	（不要）	（不要）	0.0	0.0	（不要）																					13.0	5	15																													東武日光線	幸手	徒歩	27								
1430	埼玉県越谷市大沢字鷲越	101.85	101.85	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0				1.0		西	公道	6.6	6.5	南	私道	4.0	11.6			0.0	0.0			0.0	0.0	（有）	98.74	0.1	（無）	（不要）	160	1600	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	100.0					（無）	88000	115000	115000	101.85	0.0	0.0	101.85	101.85	95.87	95.87	101.85	95.87	（不要）	（不要）	0.0	0.0	（不要）	0.0	○	○			○															5.0	2	20	○																					○							東武伊勢崎線	大袋	徒歩	20								
1431	埼玉県蕨市塚越	91.45	91.45	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	4.0	3.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	600	800	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域	0.0					（無）	190000	287000	542000	91.45	0.0	0.0	91.45	91.45	93.96	93.96	91.45	93.96	（不要）	（不要）	0.0	0.0	（不要）	0.0	○	○			○															10.0	8	10	○							○															○						JR京浜東北線	蕨	徒歩	8								
1432	埼玉県川口市大字西新井宿	75.99	75.99	第一種住居地域		60	0.0	200	0.0	私営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	0.0	1.0	南	私道	4.0	9.5			0.0	0.0			0.0	0.0			0.0	0.0	（有）	67.98	0.5	（無）	（不要）	2070	2070	実測	更地	市街化区域	市街化区域	指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	100000	125000	125000	75.99	0.0	0.0	75.99	75.99	100.85	100.85	75.99	100.85	（不要）	（不要）	0.0	0.0	（不要）			○	○		○															15.0	26	26		○							○											○		○							埼玉高速鉄道線	新井宿	徒歩	9								
1433	埼玉県蓮田市蓮田	118.01	118.01	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	6.0	8.3			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	908	113	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無		景観法				（無）	73000	107000	118000	118.01	0.0	0.0	118.01	118.01	94.35	94.35	118.01	94.35	（不要）	（不要）	0.0	0.0	（不要）					○	○									○						8.0	12	2							○	○							○							○							JR東北本線【宇都宮線】	蓮田	徒歩	19								
1434	埼玉県北足立郡伊奈町栄	350.0	350.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	6.0	15.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1700	1500	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	58500	95700	86900	350.0	0.0	0.0	166.0	184.0	97.0	105.0	175.0	101.0	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															15.0	22	19	○														○							○							JR東北本線【宇都宮線】	蓮田	徒歩	26								
1435	埼玉県さいたま市緑区東浦和	245.57	245.57	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	公共下水	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	12.9	12.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	860	630	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	180000	243000	208000	245.57	0.0	0.0	122.71	122.86	101.64	102.46	122.78	102.05	（不要）	（不要）	0.0	0.0	（不要）	0.0		○			○															17.0	11	8	○							○														○							JR武蔵野線	東浦和	徒歩	5								
1436	埼玉県狭山市大字東三ツ木	1184.37	1184.37	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	8.0	0.0	0.0	0.0	8.0	0.0	北	公道	4.5	27.0	東	私道	4.0	36.5	東	私道	6.2	37.5	西	私道	6.2	36.5	（無）	0.0	0.0	（無）	（要）	650	2200	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	86000	129000	0	973.38	208.64	2.35	121.05	122.1	106.0	111.0	148.04	108.87	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															5.0	9	28	○							○							○							○							西武新宿線	新狭山	徒歩	9								
